anchor_num,filename,correct_answer,option1,option2,option3,chart_column,trend_year,ranking_year,option_type,modality_order_type,library,chart_type
283,iJQarDzzbcJq.png,none,BOEING CO. is the organization for which the sum of the recch value for 2023 and the recch value for 2021 is -274.0.,BOEING CO. is the organization that showed a consistent downward trend in aoloch values from 2021 to 2023.,"Without needing any further approval from stockholders, BUNGE GLOBAL SA is authorized to issue up to 5,000,000 shares of preferred stock.",aoloch,"(2021, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Trend'}","table, chart, text",seaborn,bar
74,ANRmybu9C8TN.png,"1, 3",ENERGY TRANSFER LP is the organization where the 2020 ppent value minus the 2019 ppent value equals 816.0.,SALESFORCE INC. is the organization that has the highest oancf value in 2021.,Interest expenses are incurred by SALESFORCE INC from various sources like convertible senior notes and a $500 million term loan.,oancf,"(2019, 2023)",2021,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","table, chart, text",plotly,pie
508,wTtzegmzbzIF.png,2,ABBOTT LABORATORIES is the organization with the smallest oancf value in 2020.,ENERGY TRANSFER LP is the organization with txt values below 558.5 in 2023.,"The future expenses ABBOTT LABORATORIES will incur related to environmental cleanup actions will depend on several factors, including legal obligations and the identification of additional polluted sites.",oancf,"(2019, 2023)",2020,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Ranking'}","chart, table, text",seaborn,bar
322,cRyITGqMe3sb.png,2,ENTERPRISE PRODCT PARTNRS LP is the organization identified by the fact that the sum of the 2021 fiao value and the 2022 fiao value equals 173.0.,Possible fines and limitations on operations are encountered by ENTERPRISE PRODCT PARTNRS LP due to its failure to adhere to air quality regulations.,MONDELEZ INTERNATIONAL INC. is the organization that showed a persistently upward trend in act values from 2020 to 2023.,act,"(2020, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Trend'}","table, text, chart",seaborn,bar
59,UOOlwFacgdc7.png,"2, 3",ENTERPRISE PRODCT PARTNRS LP is the corporation with the minimum sale value in 2020.,"Seeking protection for its forward-looking statements, WORLD KINECT CORP operates in accordance with relevant securities regulations.",ENTERPRISE PRODCT PARTNRS LP is the organization with ap values below 2245.8 in 2023.,sale,"(2019, 2023)",2020,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Ranking'}","chart, text, table",seaborn,bar
309,WMCj6GtUnYJL.png,1,SALESFORCE INC. is the company that displayed a consistent upward trend in oancf values from 2020 through 2022.,A market approach is employed by SALESFORCE INC to evaluate the fair value of its foreign currency forward exchange contracts.,ENERGY TRANSFER LP is the organization where the spi value for 2023 minus the spi value for 2019 equals 312.0.,oancf,"(2020, 2022)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Trend'}","chart, text, table",matplotlib,scatter
53,2dO5ySDvftip.png,3,COSTCO WHOLESALE CORP. is the organization with the leading oiadp value in 2019.,ALLSTATE CORP. is the organization with ib values below -3935.5 in 2020.,"Aiming for less than a 1% probability, ALLSTATE CORP seeks to ensure that yearly total catastrophe losses do not exceed $2 billion after reinsurance adjustments.",oiadp,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Ranking'}","chart, table, text",plotly,line
448,rj69EoVfRSUI.png,none,An ethylene export facility located at Morgan’s Point along the Houston Ship Channel is being constructed by WORLD KINECT CORP.,MONDELEZ INTERNATIONAL INC. is the organization with invch values under -722.2 in 2020.,"In 2019, MONDELEZ INTERNATIONAL INC. held the distinction of having the largest sale value among organizations.",sale,"(2019, 2023)",2019,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Ranking'}","text, table, chart",matplotlib,bar
784,mOxWX8oycx8v.png,"1, 2, 3",SALESFORCE INC. is the organization that had the minimum sale value in 2019.,"To enhance leverage, US FOODS HOLDING CORP occasionally repurchases or eliminates its debt.",The company where the ap value for 2020 minus the ap value for 2019 equals 940.0 is SALESFORCE INC.,sale,"(2019, 2023)",2019,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","chart, text, table",seaborn,scatter
628,KagRkcAMJjy2.png,none,ENERGY TRANSFER LP is the organization where subtracting the 2021 aoloch value from the 2022 aoloch value results in -243.2.,A Midland-to-ECHO 1 Pipeline that extends 418 miles from the Midland terminal to the Sealy storage terminal is operated by WARNER BROS DISCOVERY INC.,ENTERPRISE PRODCT PARTNRS LP holds the highest act value in 2022.,act,"(2019, 2023)",2022,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","table, text, chart",seaborn,line
461,WKs80TgdyoXd.png,none,The company with the largest oibdp value in 2019 is COSTCO WHOLESALE CORP.,Outstanding shop card balances are recorded as a liability by ENERGY TRANSFER LP.,COSTCO WHOLESALE CORP is the organization with sale values below 66622 in 2022.,oibdp,"(2019, 2023)",2019,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Ranking'}","chart, text, table",matplotlib,scatter
465,PtmwVUaMrzXg.png,none,"In 2023, US FOODS HOLDING CORP. stands as the organization with the greatest sale value.",MONDELEZ INTERNATIONAL INC. is the organization whose che values in 2023 fall below 1076.5.,"Unallocated assets, which primarily consist of cash and cash equivalents, deferred income taxes, centrally managed property, plant and equipment, prepaid pension assets, and balances from derivative financial instruments, are held by US FOODS HOLDING CORP.",sale,"(2019, 2023)",2023,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Ranking'}","chart, table, text",matplotlib,pie
371,3lSNQayJpcua.png,"1, 2",A situation exists for the entity identified as SALESFORCE INC in which the sum of the lco value for the year 2022 plus the lco value for the year 2019 results in 28038.0.,COSTCO WHOLESALE CORP is the organization that exhibited a consistently upward trajectory in fopo values from 2019 to 2021.,"Due to competition from larger integrated oil and gas companies, COSTCO WHOLESALE CORP faces challenges in maintaining and securing natural gas supplies on favorable terms.",fopo,"(2019, 2021)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Trend'}","table, chart, text",seaborn,scatter
66,XwJbxLBYqa62.png,1,The organization with the lowest oibdp value in 2023 is ENTERPRISE PRODCT PARTNRS LP.,COSTCO WHOLESALE CORP is the organization where subtracting the dpact value of 2022 from the dpact value of 2020 results in -692.0.,"Estimates and assumptions related to key accounting domains, such as tax positions and goodwill, are routinely reassessed by COSTCO WHOLESALE CORP.",oibdp,"(2019, 2023)",2023,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","chart, table, text",matplotlib,bar
602,q50erni3y9AB.png,"1, 2, 3",Post-market studies for its medical devices might be carried out by ABBOTT LABORATORIES after their commercial introduction.,"In 2023, the firm with the highest sale value is ABBOTT LABORATORIES.",MONDELEZ INTERNATIONAL INC. is the organization with fopo values below -92 in 2020.,sale,"(2019, 2023)",2023,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Ranking'}","text, chart, table",seaborn,bar
361,Jn0PKi1SP7bW.png,"1, 2","The Justice pipeline, stretching 127 miles and with a capacity of 375 MBbls/d, is owned by ENERGY TRANSFER LP.",WARNER BROS DISCOVERY INC. is the organization for which the combined total of the recch value in 2020 and the recch value in 2021 equals 152.0.,MONDELEZ INTERNATIONAL INC. is the corporation that showed a steadily increasing trend in act values from 2019 to 2023.,act,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Trend'}","text, table, chart",plotly,bar
103,V5WFFY9nQG9G.png,none,"A mix of trademarks, copyrights, trade secrets, and patents is employed by US FOODS HOLDING CORP to safeguard its proprietary technology and brands.",ABBOTT LABORATORIES is the organization that showed a consistently upward trend in sale values from 2019 to 2023.,ABBOTT LABORATORIES is the organization with rect values below 4064 in 2021.,sale,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Trend'}","text, chart, table",matplotlib,line
672,bIKAJEWH9vn1.png,2,"The company, SALESFORCE INC., has a value where dltt in 2022 minus dltt in 2021 equals 35.0.",ENERGY TRANSFER LP is the organization with the minimum fopo value in the year 2023.,"The accounts of its fully-owned subsidiaries are integrated by COSTCO WHOLESALE CORP, which also removes significant intercompany balances and transactions.",fopo,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","table, chart, text",seaborn,bar
412,ZQWe2H199x0l.png,"2, 3",BUNGE GLOBAL SA is the business entity where the difference between the ppent value for 2021 and the ppent value for 2020 amounts to 32.0.,SALESFORCE INC. is the company that demonstrated a consistently downward trend in aoloch values from 2021 to 2023.,"Risks, including changes in foreign currency exchange rates, interest rate variations, and those associated with equity investments, are encountered by SALESFORCE INC in the financial markets.",aoloch,"(2021, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Trend'}","table, chart, text",plotly,bar
216,B6oHFsre5OKU.png,"1, 3",SALESFORCE INC. is the organization with lt values below 57596.5 in 2019.,"Through an economic capital framework, SALESFORCE INC evaluates the impact of strategic initiatives on corporate risk.",SALESFORCE INC. is the organization that showed a consistently declining pattern in aoloch values from 2019 to 2022.,aoloch,"(2019, 2022)",0,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Trend'}","table, text, chart",plotly,line
320,9MPRbV7BnaNF.png,2,"A 50% stake in the Florida Gas Transmission pipeline, which includes a mainline capacity of 3.5 Bcf/d and approximately 5,362 miles of pipeline infrastructure, is held by ENTERPRISE PRODCT PARTNRS LP.",SALESFORCE INC. is the firm that displayed a consistently increasing pattern in oancf values from 2019 to 2022.,ENTERPRISE PRODCT PARTNRS LP is the enterprise where the oibdp value for 2023 added to the oibdp value for 2020 amounts to 22242.0.,oancf,"(2019, 2022)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Trend'}","text, chart, table",seaborn,line
739,N0OZ5Onz3DQy.png,"1, 3",ENTERPRISE PRODCT PARTNRS LP is the organization where the nopi value for 2022 minus the nopi value for 2020 equals 33.2.,WORLD KINECT CORP is the organization with the smallest sale value in 2019.,"Compared to the previous year, the gross operating margin from LPG-related tasks at EHT for ENTERPRISE PRODCT PARTNRS LP increased by $62.7 million.",sale,"(2019, 2023)",2019,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","table, chart, text",matplotlib,line
218,qkg5gNNEvnrQ.png,"1, 3",WARNER BROS DISCOVERY INC. is the organization in 2022 with txditc values exceeding 7225.5.,MONDELEZ INTERNATIONAL INC. is the organization that showed a steadily rising pattern in act values from 2020 to 2022.,The transportation capacity of the Shin Oak NGL Pipeline is intended to be increased by ENTERPRISE PRODCT PARTNRS LP to approximately 825 MBPD.,act,"(2020, 2022)",0,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Trend'}","table, chart, text",matplotlib,line
43,3amagixt0IEk.png,"1, 2, 3",WARNER BROS DISCOVERY INC's obligations under the Credit Agreement are guaranteed by its subsidiary companies and are not secured.,The company known as WARNER BROS DISCOVERY INC. exhibited a continuously increasing trend in act values from 2019 to 2023.,ENERGY TRANSFER LP is the organization where the ppent value for 2020 added to the ppent value for 2022 totals 157103.0.,act,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Trend'}","text, chart, table",plotly,line
121,XiKk6aED8oNT.png,1,"To mitigate price risk, ENERGY TRANSFER LP employs a variety of financial derivatives connected to natural gas and electricity.",ENERGY TRANSFER LP is the organization that has niadj values below 2561.5 in 2019.,ENERGY TRANSFER LP is the organization that exhibited a steady upward trend in act values from 2019 to 2022.,act,"(2019, 2022)",0,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Trend'}","text, table, chart",plotly,bar
78,JIDmR7A0bFEe.png,"1, 2, 3",VERIZON COMMUNICATIONS INC. is the organization where subtracting the pi value for 2019 from the pi value for 2022 results in 5538.0.,"The U.S. federal, Japan, Australia, Germany, France, the United Kingdom, and Israel are considered by SALESFORCE INC to be significant tax jurisdictions.",The company with the largest aoloch value in 2020 is SALESFORCE INC.,aoloch,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","table, text, chart",seaborn,line
736,Zqk9PRPuTWct.png,"1, 3",ALLSTATE CORP is the organization for which the sum of the recch value in 2022 and the recch value in 2020 totals -644.0.,The current value of lease payments is determined by SALESFORCE INC through the use of the incremental borrowing rate.,ALLSTATE CORP is the organization with the greatest aoloch value in 2021.,aoloch,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","table, text, chart",matplotlib,line
647,rQEfHv31QLrd.png,1,ALLSTATE CORP is the organization where the sum of the pi value from 2021 and the pi value from 2019 totals 12537.0.,"To ascertain the market-related value of plan assets (MRVA), BUNGE GLOBAL SA employs a five-year moving average approach.","In 2021, the organization with the greatest oibdp value is BOEING CO.",oibdp,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","table, text, chart",plotly,line
135,14a3CaBDIiLp.png,1,MONDELEZ INTERNATIONAL INC. is the organization that exhibits a consistently upward trend in sale values from 2019 to 2023.,"The GILTI tax is regarded by US FOODS HOLDING CORP as an expense for the period, and it is acknowledged in the fiscal year in which it arises.",US FOODS HOLDING CORP is the organization with oiadp values exceeding 5111.5 in the year 2020.,sale,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Trend'}","chart, text, table",plotly,bar
519,eusNzYan6U8e.png,3,ENERGY TRANSFER LP is the organization with dpact values below 5540.5 in 2023.,"During the reporting year, MONDELEZ INTERNATIONAL INC experienced an increase of $19 million in general and administrative expenses.",WARNER BROS DISCOVERY INC. is the organization that possesses the greatest act value in 2022.,act,"(2019, 2023)",2022,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Ranking'}","table, text, chart",matplotlib,scatter
569,2QsOP6PKLVYV.png,"1, 3",BOEING CO recorded the smallest oibdp value in 2021.,"Thorough ERRM reports, which are compiled for senior executives and the RRC, are used by SALESFORCE INC to evaluate major risks.",SALESFORCE INC. is the organization that has lo values below 7417.5 in 2021.,oibdp,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Ranking'}","chart, text, table",seaborn,bar
300,96Pbvfw6N7gd.png,1,"SALESFORCE INC. is the organization where the ib value for 2021, minus the ib value for 2022, equals 1236.0.","To strengthen its go-to-market strategies, ENTERPRISE PRODCT PARTNRS LP is growing its team of direct sales professionals.",ENTERPRISE PRODCT PARTNRS LP is the firm that showed a consistent upward trend in oancf values from 2019 to 2023.,oancf,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Trend'}","table, text, chart",plotly,line
607,EDTo4QnYcFpT.png,"1, 2, 3",MONDELEZ INTERNATIONAL INC. is the organization whose dlc values exceed 2436 in 2023.,MONDELEZ INTERNATIONAL INC. is the organization with the lowest act value in 2022.,"Revenues are reported by MONDELEZ INTERNATIONAL INC after deductions for trade and sales incentives, as well as estimated product returns.",act,"(2019, 2023)",2022,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Ranking'}","table, chart, text",plotly,scatter
715,LkiPO5qbqAjc.png,"1, 2",ALLSTATE CORP is the organization where subtracting the lt value for 2021 from the lt value for 2019 results in 19639.0.,The smallest aoloch value in the year 2019 was recorded by VERIZON COMMUNICATIONS INC.,A dedicated team of experts within its segment is utilized by VERIZON COMMUNICATIONS INC to oversee claim management and settlement agreements.,aoloch,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","table, chart, text",seaborn,scatter
564,orKSkuuyU45v.png,"1, 3",WARNER BROS DISCOVERY INC. is the organization with oiadp values below 3799 in 2019.,The firm with the highest act value in 2023 is MONDELEZ INTERNATIONAL INC.,"In its divestitures, MONDELEZ INTERNATIONAL INC includes finalized sales of companies and significant discontinuations of product lines.",act,"(2019, 2023)",2023,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Ranking'}","table, chart, text",seaborn,pie
629,oURhgxuhN3IU.png,none,BOEING CO. is the organization where the sum of the 2019 siv value and the 2020 siv value equals 85091.0.,ALLSTATE CORP. is the organization with the highest oibdp value in 2022.,"Marketing support, technology, and financial resources are offered by SALESFORCE INC to its dedicated agencies and financial specialists.",oibdp,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","table, chart, text",seaborn,bar
286,kHH2DeMTpGKw.png,none,BUNGE GLOBAL SA is the organization where the 2021 nopi value minus the 2022 nopi value equals 760.0.,ALLSTATE CORP is the organization that displayed a consistently rising trend in oiadp values from 2019 to 2023.,Access to its periodic report submissions to the SEC is offered by ALLSTATE CORP through its website.,oiadp,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Trend'}","table, chart, text",plotly,line
183,Tu6NwhjOqm53.png,3,VERIZON COMMUNICATIONS INC. is the organization where the aoloch values showed a consistent decline from 2021 to 2023.,SALESFORCE INC. is the organization with pi values exceeding 15463 in the year 2020.,"A reorganization strategy is being executed by SALESFORCE INC, which involves a decrease of approximately 10 percent of its employees.",aoloch,"(2021, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Trend'}","chart, table, text",matplotlib,scatter
312,bjrx76v9eX0t.png,1,The company that exhibited a consistently declining trend in aoloch values from 2019 to 2022 is SALESFORCE INC.,SALESFORCE INC. is the organization where the 2022 ivncf value plus the 2023 ivncf value sums up to 1933.0.,Derivative transactions are primarily used by BOEING CO to manage its exposure to fluctuations in currency exchange rates and interest rates.,aoloch,"(2019, 2022)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Trend'}","chart, table, text",seaborn,scatter
745,U7jckQsT9NpB.png,"1, 3","In the year 2020, the company possessing the greatest fopo value is ENERGY TRANSFER LP.",COSTCO WHOLESALE CORP is the organization where the difference between the lco value in 2021 and the lco value in 2019 is equal to 4966.0.,"ENERGY TRANSFER LP's midstream segment merges its assets with intrastate transportation and storage, as well as NGL assets.",fopo,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","chart, table, text",matplotlib,line
27,phn5oGmGfwWp.png,"1, 2, 3",WARNER BROS DISCOVERY INC. is the organization that exhibits a consistent upward trend in act values from 2019 to 2022.,ENTERPRISE PRODCT PARTNRS LP is the organization with ao values below 668.65 in 2019.,"A 50% stake in Ranch JV is held by ENERGY TRANSFER LP, which includes a refrigeration facility with a capacity of 25 MMcf/d and a cryogenic processing facility with a capacity of 125 MMcf/d.",act,"(2019, 2022)",0,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Trend'}","chart, table, text",plotly,bar
503,rRSyBgJwcka7.png,2,MONDELEZ INTERNATIONAL INC. is the organization that had the greatest sale value in 2019.,"Following Russia's military invasion, MONDELEZ INTERNATIONAL INC enacted measures to protect its staff in Ukraine.",MONDELEZ INTERNATIONAL INC. is the organization with ao values below 925.5 in 2020.,sale,"(2019, 2023)",2019,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Ranking'}","chart, text, table",matplotlib,bar
310,XbGExQZdudQQ.png,1,SALESFORCE INC. is the corporation that showed a persistently declining pattern in aoloch values from 2019 to 2023.,"When leases lack an implicit rate, BOEING CO employs its incremental borrowing rate to calculate the net present value of upcoming minimum lease payments.",BUNGE GLOBAL SA is the organization where the difference between the rect value of 2019 and the rect value of 2023 equals 1380.0.,aoloch,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Trend'}","chart, text, table",matplotlib,scatter
235,gIanESHM6WsA.png,"2, 3","In its BCA segment, BUNGE GLOBAL SA primarily employs program accounting to determine the cost of sales related to its commercial aircraft projects.",BUNGE GLOBAL SA is the organization that demonstrated a persistent upward trend in oiadp values from 2019 to 2022.,ALLSTATE CORP is the organization with dpact values below 3334.5 in 2022.,oiadp,"(2019, 2022)",0,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Trend'}","text, chart, table",seaborn,scatter
180,5NZ6tcZoZIvQ.png,3,MONDELEZ INTERNATIONAL INC. is the organization that shows a persistent upward trend in act values over the period spanning from 2021 to 2023.,"Operating on an international scale, MONDELEZ INTERNATIONAL INC encounters risks related to fluctuations in foreign currency exchange rates.",WARNER BROS DISCOVERY INC is the organization with ibc values below 2462 in the year 2020.,act,"(2021, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Trend'}","chart, text, table",seaborn,bar
378,g4BSVUMb1ymv.png,"1, 2",COSTCO WHOLESALE CORP is the organization that exhibited a continuous upward pattern in oiadp values from 2019 to 2021.,ALLSTATE CORP is the organization where the difference between the lt value in 2023 and the lt value in 2021 totals 11419.0.,"For the most recent reporting period, ALLSTATE CORP reported a total stockholders' equity of $25,058 million.",oiadp,"(2019, 2021)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Trend'}","chart, table, text",plotly,scatter
466,CqVWwvVfFB9k.png,none,BOEING CO is the company having the smallest aoloch value in 2022.,The organization known as SALESFORCE INC. has pi values that exceed 10968.5 in the year 2023.,"SALESFORCE INC's pension cash requirements are regulated by ERISA guidelines, allowing for the possibility of extra discretionary contributions.",aoloch,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Ranking'}","chart, table, text",seaborn,line
677,t7o8W7PUi8ad.png,2,MONDELEZ INTERNATIONAL INC. is the organization with the largest act value in the year 2022.,"For the management of its derivative transactions, MONDELEZ INTERNATIONAL INC employs Level 1 and Level 2 financial assets and liabilities.",ENTERPRISE PRODCT PARTNRS LP is the organization where the sum of the 2019 at value plus the 2021 at value totals 131641.0.,act,"(2019, 2023)",2022,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","chart, text, table",matplotlib,bar
379,gSoCZ1Asm9y2.png,"1, 2",COSTCO WHOLESALE CORP. is the organization that exhibited a steadily increasing trend in oibdp values from 2019 to 2022.,ENTERPRISE PRODCT PARTNRS LP is the organization where the sum of the dlc value for 2019 and the dlc value for 2020 equals 3375.1.,"Variations in energy costs, especially those concerning electricity and natural gas, affect WARNER BROS DISCOVERY INC.",oibdp,"(2019, 2022)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Trend'}","chart, table, text",plotly,scatter
