anchor_num,filename,correct_answer,option1,option2,option3,chart_column,text_chart_trend_year,option_type,modality_order_type,library,chart_type,ranking_year
852,dxNGIAt8B1A3.png,none,ENERGY TRANSFER LP is the firm with the smallest act value in the years where the sum of the niadj value and oancf value for ENERGY TRANSFER LP surpasses 14866.,"A significant influence on Adjusted EBITDA was faced by the organization with the smallest act value in 2021 due to recent asset acquisitions, especially concerning the Bakken pipeline and the Rover pipeline.","A significant effect on the company's Adjusted EBITDA was faced due to new asset acquisitions, especially the Bakken pipeline and the Rover pipeline, where the nopi value for 2023 minus the nopi value for 2019 equals 824.0.",act,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Ranking'}","Table+Chart, Text+Chart, Text+Table",seaborn,scatter,0
465,gwnfOMcrceR5.png,2,MONDELEZ INTERNATIONAL INC is recognized as the company with the highest act value in the years when the pi value minus the dltr value for MONDELEZ INTERNATIONAL INC surpasses 2641.5.,"Confident in its ability to meet both short and long-term cash needs, the organization with the highest act value in 2021 believes it has sufficient liquidity and funding sources.",Confident that it possesses adequate liquidity and funding sources to fulfill its cash needs in both the short and long term is the organization with ibc values below -2285.5 in 2022.,act,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Ranking'}","Table+Chart, Text+Chart, Text+Table",plotly,line,0
452,FNv55uabjRA9.png,1,"To implement practical expedients for lease accounting according to the new standard, the organization with dltt values below 11940 chose this course of action in the year 2021.",COSTCO WHOLESALE CORP. holds the lowest fopo value during the years when the combined total of the ao value and the ap value for ENERGY TRANSFER LP is less than 4829.5.,It is a legal requirement for the organization with the minimum fopo value in 2020 to document asset retirement obligations (AROs) when there is a legal duty to dismantle an asset and it can be estimated with reasonable accuracy.,fopo,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Ranking'}","Text+Table, Table+Chart, Text+Chart",seaborn,bar,0
880,Znyi0u6KZQ4z.png,"1, 3",An annual goodwill impairment review in the fourth quarter is conducted by the organization where the ibc value for 2021 plus the ibc value for 2022 amounts to 10994.0.,BOEING CO is the company with the maximum oiadp value in the years when the nopi value plus the ibc value for ALLSTATE CORP falls below -851.,A variety of operational risks that could impact its financial performance are recognized by the organization with the largest oiadp value in 2019.,oiadp,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Ranking'}","Text+Table, Table+Chart, Text+Chart",matplotlib,bar,0
157,2J6Vcm5xd1wY.png,1,"Across all asset categories, the organization that exhibited a consistently upward trend in act values from 2019 to 2023 integrates both lease and non-lease components within its lease contracts.",ABBOTT LABORATORIES holds the highest act value among companies in the years when its ap value falls below 3599.,"Within its lease contracts across all asset categories, the organization with ap values under 4882 in 2021 merges lease and non-lease elements.",act,"(2019, 2023)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Chart, Table+Chart, Text+Table",seaborn,scatter,0
226,EERVvykmLPG5.png,"1, 3","In 2023, network reliability, capacity, and coverage are deemed essential distinguishing factors in the U.S. wireless market by the organization whose oibdp values exceed 28112.",VERIZON COMMUNICATIONS INC. is identified as the company with ivao values cumulative sum below 151997.5 and aoloch values that continuously decrease for all years.,"Valuation allowances for deferred tax assets are set up by the company that exhibited a continuously downward trend in aoloch values from 2021 to 2023, considering the probability of realization.",aoloch,"(2021, 2023)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Trend'}","Text+Table, Table+Chart, Text+Chart",seaborn,line,0
191,z8tg8OHDApqq.png,"1, 2, 3",VERIZON COMMUNICATIONS INC. is recognized as the company with the largest aoloch value in the years when BUNGE GLOBAL SA's lo value surpasses 836.5.,"In 2019, as part of the local exchange business divestiture, approximately 9,300 employees were transitioned to Frontier by the organization with sale values exceeding 86504.","An assortment of trademarks, copyrights, trade secrets, and patents is relied upon by the company exhibiting a consistently downward trend in aoloch values from 2020 to 2023 to safeguard its proprietary technology and brands.",aoloch,"(2020, 2023)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Table+Chart, Text+Table, Text+Chart",seaborn,scatter,0
793,TwZlEqxcXXkM.png,"2, 3",SALESFORCE INC is the company with the greatest ap value in the years when the rect value for MONDELEZ INTERNATIONAL INC falls below 2940.5.,"In 2020, a complete withdrawal liability from its largest multiemployer pension plan was carried out by the organization with the top ap value, resulting in a $526 million evaluation.","A full withdrawal liability was undertaken by the organization from its largest multiemployer pension plan, leading to a $526 million charge, where the difference between the 2023 aco value and the 2022 aco value is 837.0.",ap,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Table+Chart, Text+Chart, Text+Table",seaborn,bar,0
179,bZOkFrdfLA5Z.png,"1, 3","Contract value is allocated to distinct performance obligations related to advertising contracts by the organization demonstrating a steadily rising trend in act values between 2019 and 2022, and revenue is acknowledged once each obligation is fulfilled.","Holding substantial valuation allowances in the U.S., China, and Mexico, the organization with lt values below 29900 in 2021 has its U.S. allowance originating from surplus foreign tax credits due to U.S. tax reform.",WARNER BROS DISCOVERY INC possesses the greatest act value during the years when MONDELEZ INTERNATIONAL INC has a fincf value below -5813.5.,act,"(2019, 2022)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Chart, Text+Table, Table+Chart",seaborn,scatter,0
553,8Vmsbw1Rj8YD.png,1,"The Natural Gas Pipelines & Services segment of the corporation, where the cogs value for 2021 minus the cogs value for 2020 totals 12961.4, is responsible for the gathering, treating, and transportation of natural gas.",WORLD KINECT CORP is the organization with the greatest sale value in the periods when the aoloch value for WORLD KINECT CORP falls below -168.7.,"Responsible for the collection, processing, and transport of natural gas is the Natural Gas Pipelines & Services division of the enterprise, which shows a consistently upward trend in sale values from 2019 to 2023.",sale,"(2019, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Table, Table+Chart, Text+Chart",plotly,line,0
6,mXGxCGl6aClJ.png,none,Roughly $3.6 billion was expended in cash and shares by the firm that exhibited a consistently declining trend in aoloch values between 2019 and 2022 for the TracFone purchase.,ALLSTATE CORP is the organization with the total sum of fincf values exceeding -16795.5 and aoloch values that consistently declined for each year.,"The organization's Commerce offering benefits from assisting brands in boosting customer interaction and sales through customized shopping experiences, where the difference between the 2023 spi value and the 2021 spi value is -59.0.",aoloch,"(2019, 2022)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Trend'}","Text+Chart, Table+Chart, Text+Table",seaborn,bar,0
725,DLrIDmJbsAUz.png,"1, 3",Foreign exchange gains and losses from financing activities are treated as non-cash elements influencing the consolidated statements of cash flows by the organization where the capx value in 2019 minus the capx value in 2020 equals 159.0.,"Considered as non-cash items that influence the consolidated statements of cash flows, the organization possessing the leading aoloch value in 2022's foreign exchange gains and losses resulting from financing activities is identified.",SALESFORCE INC. is the firm with a nopi value below 2817.5 and an aoloch value that consistently declined for every year.,aoloch,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Text+Table, Text+Chart, Table+Chart",matplotlib,scatter,0
242,xD48vrzVrTMA.png,"1, 2, 3","From 2019 to 2022, the company demonstrated a steady decrease in aoloch values while offering its services through infrastructure that is both developed and managed by the company, in addition to using third-party data centers.","SALESFORCE INC. is the company where, for every year, the cumulative total of spi values is greater than -8021, and the aoloch values consistently decrease.","In 2020, the organization with oiadp values below 4554.5 offers its services using infrastructure that is both designed and managed internally by the company and through third-party data centers.",aoloch,"(2019, 2022)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Trend'}","Text+Chart, Table+Chart, Text+Table",plotly,line,0
469,icna9Au0h3ik.png,3,"In 2019, the organization with the greatest ap value typically experiences the largest operating cash flow in the initial quarter due to invoicing patterns.",ENERGY TRANSFER LP stands out as the organization with the smallest ap value during the years when the fincf value minus the nopi value for SALESFORCE INC is greater than 3153.,"A rise in NGL transportation volumes was experienced by the organization, which had fincf values below -4335 in 2022, primarily due to increased production from the Permian area.",ap,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Ranking'}","Text+Chart, Table+Chart, Text+Table",plotly,bar,0
363,Wmo3WDVweocw.png,2,BOEING CO holds the lowest oibdp value among companies during the years when the oiadp value for SALESFORCE INC exceeds 3928.5.,"In 2019, the organization with the peak oibdp value is involved in offering logistics management and maintenance services in addition to product manufacturing.","In 2021, the organization with ivncf values exceeding 4917 plans to improve its global go-to-market capacities to expand its business.",oibdp,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Table+Chart, Text+Chart, Text+Table",seaborn,bar,0
265,Rrdvgf9YNLlF.png,3,"In 2023, a reduction of $13 million in selling, general, and administrative expenses was observed by the organization with lo values below 1033.5.","COSTCO WHOLESALE CORP. is identified as the company with the highest oibdp value during the years when, for ABBOTT LABORATORIES, the lo value minus the oiadp value falls below -3000.5.","Selling, general, and administrative expenses are incurred by the organization, with a consistently ascending trend in oibdp values from 2019 to 2022, primarily covering employee costs such as salaries and benefits for personnel working in both warehouse and regional office locations.",oibdp,"(2019, 2022)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Ranking'}","Text+Table, Table+Chart, Text+Chart",matplotlib,scatter,0
660,tnHz3eqGEdfo.png,2,"For promotion purposes, the organization hosts both in-person and online events, having exhibited a steadily rising pattern in fopo values from 2019 to 2023.","Membership fee income is recognized by the company where the 2020 ppent value minus the 2019 ppent value equals 4297.0, and it is distributed evenly over a one-year duration on a deferred basis.",ENERGY TRANSFER LP is the organization with the greatest fopo value in the periods when the lct value plus dpact value for SALESFORCE INC exceeds 29188.,fopo,"(2019, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Ranking'}","Text+Chart, Text+Table, Table+Chart",plotly,scatter,0
568,YjNkefljk0Rk.png,3,Completing the assessment of the acquired assets and liabilities within one year from the acquisition date is anticipated by the corporation that showed a persistently rising trend in fopo values between 2021 and 2023.,"Within a year from the acquisition date, the organization anticipates completing the valuation of the acquired assets and liabilities where the difference between the 2020 oancf value and the 2021 oancf value is -97.0.",SALESFORCE INC is the organization with the top fopo value during the years when the dlc value for SALESFORCE INC falls below 804.5.,fopo,"(2021, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Chart, Text+Table, Table+Chart",seaborn,line,0
716,m3TQ5iwohdBi.png,3,Revenue from commercial aircraft agreements is acknowledged by the organization with the minimal aoloch value in 2023 at the moment when the aircraft is finished and approved by the client.,ALLSTATE CORP is the company with the pi value above -3758.5 and an aoloch value that consistently declines for each year.,Revenue from commercial aircraft contracts is recorded by the company for which the difference between the 2019 pi value and the 2021 pi value equals 2774.0 at the moment when the aircraft is finalized and approved by the customer.,aoloch,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Text+Chart, Table+Chart, Text+Table",seaborn,line,0
668,Hy9tSASX6ewP.png,3,"Exchange offers for 17 series of unsecured notes were finalized by the organization that showed a consistently declining trend in aoloch values from 2019 to 2023 to extend their maturity dates, and cash options were offered for certain notes.",SALESFORCE INC. possesses the highest aoloch value in the years when the fopo value minus the oancf value for BUNGE GLOBAL SA is below -245.5.,"Finalizing exchange offers for 17 series of unsecured notes to extend their maturity, the organization where the sum of the 2021 fopo value and the 2019 fopo value is 5137.0 also provided cash options for certain notes.",aoloch,"(2019, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Ranking'}","Text+Chart, Table+Chart, Text+Table",matplotlib,scatter,0
327,e3bkI346rZec.png,"1, 3","In 2019, the corporation with txditc values below 321.7 plans to increase its NGL fractionation capacity by constructing a new facility in Chambers County, Texas.","ENTERPRISE PRODCT PARTNRS LP is the company, for every year, whose ivncf value is below -724 and whose oibdp value has consistently grown.","In 2022, the organization with the minimal oibdp value possesses brand licensing agreements related to symbolic intellectual property that frequently extend beyond a one-year duration.",oibdp,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Text+Table, Table+Chart, Text+Chart",seaborn,scatter,0
339,Ths508lFFsK8.png,"1, 2, 3","In 2020, the organization with fincf values that surpassed -1785.85 employed the net proceeds from the issuance of senior notes to finance a portion of the Scripps Networks acquisition.",WARNER BROS DISCOVERY INC is the company with the cogs value below 26673.5 and an act value that has consistently increased for every year.,"By partnering with counterparties holding investment-grade credit ratings, the organization with the minimal act value in 2022 manages credit risk in its OTC derivative dealings.",act,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Text+Table, Table+Chart, Text+Chart",seaborn,scatter,0
59,aVu4EIjJQnie.png,"2, 3",ALLSTATE CORP is the firm with the greatest oibdp value in the years when the sale value for COSTCO WHOLESALE CORP falls short of 159732.,"Wage deferral contributions, which are matched by the Company for its U.S. employees, are incorporated into the 401(k) retirement plan by the organization that showed a consistently rising trend in oibdp values from the year 2019 to 2023.",Seeking to achieve a rate of return on its pension assets to fulfill benefit commitments and maintain liquidity is the organization where the 2021 ibc value minus the 2020 ibc value amounts to 7651.0.,oibdp,"(2019, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Table+Chart, Text+Chart, Text+Table",plotly,scatter,0
704,yJn5bAEg2FXY.png,1,WARNER BROS DISCOVERY INC. is the company with the recch value exceeding -1055.3 and an act value that consistently increased for every year.,"To determine ex-FX results, the organization with the highest act value in 2021 modifies its financial outcomes to exclude the effects of foreign currency hedging activities as well as any transaction gains or losses.","A high priority was placed by the organization on its workforce, customers, and communities throughout the COVID-19 pandemic, while it persisted in implementing its strategic priorities, in which the sum of the recch values for 2023 and 2021 amounts to 359.0.",act,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Table+Chart, Text+Chart, Text+Table",plotly,bar,0
817,0pKkLUsLKiFQ.png,3,Documented figures related to the U.S. tax reform have been included in the financial statements by the organization where the dpc value for 2019 minus the dpc value for 2022 equals -20.4.,ENTERPRISE PRODCT PARTNRS LP is the organization in every year with cumulative oancf values exceeding 18974.2 and sale values that exhibit continuous growth.,Documented figures pertaining to U.S. tax reform appear in the financial statements of the organization with the minimum sale value in 2022.,sale,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Trend'}","Text+Table, Table+Chart, Text+Chart",matplotlib,bar,0
849,9fmrNMuMlBDX.png,none,A three-year agreement that offers reinsurance for property losses due to earthquakes in personal lines characterizes the organization with the smallest aoloch value in the 2021 Kentucky Earthquake Excess Catastrophe Reinsurance Contract.,"Kentucky Earthquake Excess Catastrophe Reinsurance Contract, which belongs to the organization where the pi value for 2023 minus the pi value for 2021 totals 3418.0, is a three-year agreement providing reinsurance for personal property losses caused by earthquakes.",ALLSTATE CORP is the organization with the leading aoloch value in the years when the pi value plus cogs value for SALESFORCE INC is below 5585.,aoloch,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Ranking'}","Text+Chart, Text+Table, Table+Chart",seaborn,scatter,0
643,A1A5CoFyBSVF.png,"1, 2, 3","From 2020 through 2023, the corporation, which showed a steadily upward trend in oibdp values, evaluated the design and examined how efficiently internal controls were functioning over its self-insurance workers' compensation procedures.",COSTCO WHOLESALE CORP is the entity with the cumulative total of fiao values exceeding -2487 and oibdp values demonstrating a continuous rise during all years.,"The corporation assessed the design and tested the operational effectiveness of its internal controls concerning the self-insurance workers' compensation procedure, where the sum of the 2023 fiao value and the 2019 fiao value is 201.0.",oibdp,"(2020, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Trend'}","Text+Chart, Table+Chart, Text+Table",matplotlib,bar,0
891,tEjcinQLQ9d3.png,"1, 2, 3",Adverse reserve reassessments for personal auto due to increased expenses in bodily injury and physical damage coverage were faced by the organization where the txt value for 2020 minus the txt value for 2021 is 94.0.,"In 2023, the business with the minimal oibdp value experienced negative reserve reestimates for personal auto due to increased costs related to bodily injury and physical damage coverage.","BUNGE GLOBAL SA is the company with the smallest oibdp value in the years when, for BOEING CO, the sale value minus rect value surpasses 69525.",oibdp,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Ranking'}","Text+Table, Text+Chart, Table+Chart",matplotlib,line,0
277,gqPeA6xhs1Vx.png,"1, 2",MONDELEZ INTERNATIONAL INC. holds the position as the company with the smallest act value in the years when the sale value plus the intan value for ENERGY TRANSFER LP exceeds 93071.,"Series A-1 and Series C-1 convertible preferred stock are permitted by the organization, which demonstrated a persistent upward trend in act values from 2019 to 2023, to be independently converted into common stock.","In 2019, the organization with dlc values below 412.5 allows the independent conversion of Series A-1 and Series C-1 convertible preferred stock into common stock.",act,"(2019, 2023)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Ranking'}","Table+Chart, Text+Chart, Text+Table",plotly,scatter,0
537,lF4GVBdpjekp.png,"2, 3",Nearly $194.2 million of pre-existing St. Jude Medical notes remained outstanding following a debt swap by the organization that showed a consistently rising pattern in sale values from 2019 through 2023.,"After participating in a debt exchange, the organization with the dpact value for 2023 plus the dpact value for 2020 equaling 21543.0 had approximately $194.2 million of outstanding St. Jude Medical notes remaining.",SALESFORCE INC. is the company with the dpact value below 6790 and a sale value that consistently rises for each year.,sale,"(2019, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Trend'}","Text+Chart, Text+Table, Table+Chart",seaborn,bar,0
532,aFQ4uKzhK630.png,"1, 3",SALESFORCE INC. is the organization with a ppent value below 6748 and a sale value that consistently rises for every year.,"Deferred tax assets related to its net operating losses are acknowledged by the organization where the spi value for 2023 minus the spi value for 2021 equals 264.0, in compliance with ASC 740.",Acknowledgment of revenue occurs when control of products and services is transferred to customers by the organization that exhibited a consistently rising pattern in sale values from 2019 to 2023.,sale,"(2019, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Trend'}","Table+Chart, Text+Table, Text+Chart",plotly,line,0
334,WS8sY3xUzAmC.png,"2, 3",Gains and losses from foreign currency derivative contracts are acknowledged as other expense by the organization with the minimal act value in 2023.,Gains and losses arising from foreign currency derivative contracts are identified as other expense by the organization with pi values below 4871.5 in 2021.,SALESFORCE INC. is the organization with the pi value below 8627.5 and the act value steadily rising for all years.,act,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Text+Chart, Text+Table, Table+Chart",plotly,bar,0
71,zRwkNvcjbu94.png,2,"Higher fluctuations in income from its Data subscription and support offerings, as compared to other services, are anticipated by the organization with the largest oancf value in 2022.",SALESFORCE INC. is the entity with the dltt value below 28852.5 and an oancf value that keeps rising for every year.,A rise in Segment Adjusted EBITDA for the Investment in Sunoco LP segment compared to the previous year was disclosed by the organization where the nopi value for 2019 minus the nopi value for 2023 equals 553.0.,oancf,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Text+Chart, Table+Chart, Text+Table",plotly,bar,0
158,xCgiURGIbm4G.png,1,MONDELEZ INTERNATIONAL INC. has the highest ib value in the periods when COSTCO WHOLESALE CORP's ao value falls below 1143.,Non-amortizable intangible assets like brand names acquired through multiple acquisitions are primarily included by the organization with ao values exceeding 2374 in the year 2020.,"Over the forthcoming five years, the organization will settle the remaining sum of about $794 million in transition tax obligation, having displayed a consistently upward trend in ib values from 2020 to 2023.",ib,"(2020, 2023)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Table+Chart, Text+Table, Text+Chart",seaborn,line,0
530,8ene3ZwCvd8E.png,"1, 3","As agricultural commodity prices climb, the organization experiences a rise in cash flow needs, having demonstrated a persistently upward trend in oiadp values between 2019 and 2023.","An organization provides run-off property-liability insurance mainly linked to policies issued from the 1960s to the mid-1980s, where the aoloch value for 2020 minus the aoloch value for 2023 amounts to -2537.0.","BUNGE GLOBAL SA is the organization, for every year, with the pi value exceeding -3758.5 and an oiadp value that constantly rose.",oiadp,"(2019, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Trend'}","Text+Chart, Text+Table, Table+Chart",plotly,scatter,0
